trans_date_trans_time,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
2020-06-06 17:20:46,"Hoppe, Harris and Bedn",entertainment,12.85,Hawthorne,CA,33.9143,-118.3493,93193,"Editor, magazine features",1995-04-19,e730f1935a095deebe33994b12f17177,34.436244,-118.228511,0
2020-03-18 23:30:36,"Gottlieb, Considine and Schultz",shopping_net,2.12,Rock Springs,WY,41.606,-109.23,27971,Music therapist,1984-08-01,2cc6e6e3b0d409dee88aaee205e69b32,41.960734,-109.673451,0
2020-09-27 18:07:19,Bins-Tillman,entertainment,68.19,Helm,CA,36.4992,-120.0936,123,Early years teacher,1973-02-07,28bcc1336f61e190c8e72ce444e6d174,36.669117,-120.405206,0
2020-03-31 03:44:43,Heidenreich PLC,grocery_pos,53.99,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,1999-05-31,21f54cfaef6f611a433cd8d683067c02,47.369144,-117.165081,0
2019-11-03 21:27:37,Predovic Inc,shopping_net,123.61,Lakeport,CA,39.047,-122.9328,11256,Podiatrist,1972-10-18,7c96acccc4fb673c533b304e868452e5,39.405640000000005,-122.747569,0
2020-10-13 01:20:44,"Swaniawski, Lowe and Robel",shopping_pos,2.12,Unionville,MO,40.4815,-92.9951,3805,"Investment banker, corporate",1950-09-15,570de1e25fe538d0fd697c192fea8198,40.458693,-92.918307,0
2020-05-29 07:56:27,Koepp-Parke,grocery_pos,221.87,Kansas City,MO,38.9621,-94.5959,545147,Counsellor,1987-11-18,5a8e64168395e923c64658f3d2258c1b,39.430692,-94.988709,0
2020-03-18 05:16:45,"Yost, Block and Koepp",misc_pos,8.26,Burlington,WA,48.4786,-122.3345,14871,Public house manager,1974-03-10,9b0c9c95498af000884d8559d773020d,47.518157,-121.732104,0
2020-07-23 03:54:55,"Eichmann, Bogan and Rodriguez",gas_transport,69.81,Freedom,WY,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,809d665fadb4b2068ad95a51a75c5852,42.599648,-111.302823,0
2019-04-05 10:29:44,Torp-Labadie,gas_transport,49.6,Matthews,MO,36.7154,-89.6287,1019,Aeronautical engineer,1979-01-26,aa4ade530b9a60826eca6587d95c66eb,35.928269,-88.72000200000001,0
2020-09-08 23:16:06,Wuckert-Goldne,home,146.74,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,1973-09-22,1270883bb99df180537595bf4aab900f,33.549392,-117.838524,0
2019-02-28 11:04:58,"Wiza, Schaden and Stark",misc_pos,556.18,Mesa,ID,44.6255,-116.4493,129,Cartographer,1965-12-15,6572462bf8b7ce77f63db386acdbd8b3,44.908266,-116.031815,0
2019-10-21 03:26:16,"Greenholt, Jacobi and Gleason",gas_transport,55.06,Lowell,OR,43.92100000000001,-122.7806,1420,Systems analyst,1965-11-11,e3182c927dc26255ce68556e823af26a,43.781493,-123.045906,0
2019-11-26 15:59:06,"Moore, Williamson and Emmerich",home,246.43,Sun City,CA,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,0f50f7902e7487539de40a3b71d4d81a,33.640195,-117.637378,0
2020-07-13 02:11:15,Williamson LLC,misc_pos,112.07,Burbank,WA,46.1966,-118.9017,3684,Musician,1981-11-29,85a3dac3f287115e79aa0cbc6f270173,46.412795,-118.129884,0
2019-04-20 21:21:18,"Greenholt, O'Hara and Balistreri",shopping_net,5.75,Utica,MO,39.7417,-93.6289,271,Land/geomatics surveyor,1972-04-18,bbfb45e3071a424799b21d2bda893156,38.777544,-93.965245,0
2020-12-13 16:15:54,Fadel Inc,health_fitness,2.69,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,1999-05-31,5ca7a0ee43aa85c631890a71354f82a9,46.410642,-116.57316000000002,0
2020-04-26 20:20:31,Stamm-Rodriguez,misc_pos,701.15,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,1982-02-11,5339013a046a5871ca3803292749b2f7,41.9,-100.760832,0
2019-09-08 20:25:20,Kuhn Group,food_dining,72.81,Napa,CA,38.4549,-122.2564,94014,Airline pilot,1985-08-21,e9506cef92438ab56e1f43b3b0fe69c7,39.099828,-121.317349,0
2019-01-27 18:17:10,"Hagenes, Hermann and Stroman",travel,3.53,Campbell,NE,40.2967,-98.737,493,"Surveyor, minerals",1940-09-13,8b1792d55d1a80e15924bd25cc85a158,39.383264,-99.490495,0
2019-11-30 17:40:35,Bernhard-Lesch,food_dining,76.75,Albuquerque,NM,35.1506,-106.569,641349,Civil Service administrator,1976-04-11,6f50c8cea2934c40457d1cfe77482edb,34.519098,-107.550955,0
2020-08-26 15:49:07,Pagac LLC,shopping_pos,3.66,Redford,MO,37.3272,-91.0243,241,Investment analyst,1974-10-27,b9a5de9a13d45ca5aa0a2485c28d0aad,36.657293,-91.863129,0
2020-12-29 22:45:33,"Schumm, McLaughlin and Carte",food_dining,106.92,Meredith,CO,39.3199,-106.6596,61,Public relations account executive,1939-11-04,5b6d4e23d35c49487a3d6e172737d253,39.335872,-105.875634,0
2019-10-24 09:43:41,"Stroman, Hudson and Erdman",gas_transport,75.66,Sixes,OR,42.825,-124.4409,217,Retail merchandiser,1928-10-01,061d1e5059d962c3e0221738ad9fa5be,42.944959,-125.151077,0
2020-01-26 00:47:55,"Douglas, Schneider and Turne",shopping_pos,3.12,Vinton,CA,40.0235,-120.7986,128,Education administrator,1966-02-21,90697b9cda44b6353a5af5bb620acc85,39.650086,-120.621857,0
2020-02-24 06:51:19,"Casper, Hand and Zul",grocery_pos,81.18,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,1982-02-11,f355b07ee72a90136fa93eee16d696b0,40.968504,-101.578444,0
2020-09-29 17:46:42,Abernathy and Sons,food_dining,63.92,San Jose,CA,37.3304,-121.7913,973849,Geoscientist,1997-01-18,32f5402fed8ef61076c6f087698169fb,38.297228,-122.094035,0
2019-05-16 08:55:51,Cole PLC,grocery_pos,54.5,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,1973-09-22,ed166f058bc963b812eb6d4e0bd7efee,33.204575,-117.607412,0
